category,macro_state_1,macro_state_1_clip,ms_1_2nd,ms_1_3rd,macro_state_2,macro_state_2_2nd,macro_state_2_3rd,innovation_success,year,outcome
1,3.823386317,3.823386317,14.61828293,55.89134292,2.5473961,6.489226893,16.53063128,8,1,360.4957145
1,6.019868929,6.019868929,36.23882192,218.1529581,9.79734944,95.98805605,940.4285272,9,1,-747.3183469
1,5.465267607,5.465267607,29.86915001,163.242898,2.22391026,4.945776844,10.99896387,7,1,476.7944711
1,4.360379061,4.360379061,19.01290556,82.90347528,2.208143075,4.87589584,10.76667563,9,1,425.6602716
1,5.480512624,5.480512624,30.03601862,164.6127792,2.518321589,6.341943625,15.97105355,5,1,442.5950782
1,3.889106607,3.889106607,15.1251502,58.82332158,2.760867284,7.622388161,21.0444021,10,1,415.9650559
1,5.72719153,5.72719153,32.80072283,187.856022,7.399459821,54.75200564,405.1352658,10,1,15.78239901
1,4.876907128,4.876907128,23.78422314,115.9934474,4.066519159,16.53657807,67.24631154,7,1,364.7464271
1,3.439655602,3.439655602,11.83123066,40.6953588,7.083359802,50.17398608,355.4003961,8,1,-128.408299
1,5.992545305,5.992545305,35.91059923,215.1958928,3.375015783,11.39073154,38.44389872,9,1,583.4118212
1,5.374805497,5.374805497,28.88853413,155.2702521,4.108784789,16.88211244,69.36496679,10,1,478.5955529
1,4.388272106,4.388272106,19.25693208,84.5046579,9.548783623,91.17926868,870.6511075,10,1,-701.9084921
1,4.904155629,4.904155629,24.05074244,117.9485839,7.181642458,51.57598839,370.400308,10,1,-38.85534857
1,6.00847029,6.00847029,36.10171522,216.9160833,6.078979555,36.95399244,224.6425645,9,1,318.8632638
1,6.364406174,6.364406174,40.50566594,257.7945104,0.448671663,0.201306261,0.090320415,7,1,367.8894994
1,5.226429211,5.226429211,27.3155623,142.7628527,7.157020542,51.22294304,366.6036556,10,1,2.479611897
1,5.286384961,5.286384961,27.94586596,147.7326055,3.56773714,12.7287483,45.41282806,10,1,517.0493963
1,4.352161812,4.352161812,18.94131244,82.43565668,4.221214804,17.81865442,75.21636784,8,1,317.3076919
1,3.556670555,3.556670555,12.64990543,44.99154618,4.301648106,18.50417643,79.5984555,10,1,286.4538669
1,5.980109295,5.980109295,35.76170718,213.8589175,3.502017521,12.26412672,42.94918663,7,1,543.9777848
1,5.399285698,5.399285698,29.15228605,157.4015211,6.94233082,48.19595722,334.5922792,9,1,61.86011032
1,3.984255677,3.984255677,15.8742933,63.24724319,6.74961069,45.55724447,307.4936643,8,1,-60.12257818
1,3.609226563,3.609226563,13.02651638,47.01564896,3.601804883,12.97299841,46.72620902,8,1,295.397193
1,5.498449008,5.498449008,30.23294149,166.2342872,3.763011594,14.16025626,53.28520846,7,1,473.5155504
1,4.643242832,4.643242832,21.559704,100.106941,3.812463629,14.53487893,55.41369726,8,1,386.3679436
1,4.818162358,4.818162358,23.21468851,111.8521384,9.272535573,85.97991595,797.2518292,9,1,-639.3834905
1,2.562530264,2.562530264,6.566561352,16.82701219,9.919393146,98.39436039,976.0123441,7,1,-629.9059179
1,5.995457271,5.995457271,35.94550789,215.5097566,6.489288007,42.11085883,273.2694912,9,1,245.8202103
1,6.499161342,6.499161342,42.23909815,274.5187138,8.408269796,70.69900096,594.4562744,8,1,-180.9067835
1,4.307169282,4.307169282,18.55170722,79.90534349,5.162317953,26.64952664,137.5733298,7,1,182.5287714
1,4.478673264,4.478673264,20.05851421,89.83553129,8.695059005,75.6040511,657.3816854,8,1,-489.0758577
1,6.146612731,6.146612731,37.78084807,232.2242417,0.318970883,0.101742424,0.032452871,10,1,389.1398209
1,5.45416185,5.45416185,29.74788148,162.2497603,9.265903377,85.85696539,795.5423456,10,1,-584.9920831
1,3.317986768,3.317986768,11.00903619,36.52783642,8.867680446,78.63575649,697.3167602,10,1,-465.0388491
1,5.387200837,5.387200837,29.02193286,156.346981,5.381041377,28.9556063,155.8113156,7,1,318.7433849
1,3.149052844,3.149052844,9.916533813,31.227689,3.00767932,9.046134894,27.20787285,9,1,328.7418293
1,5.102716251,5.102716251,26.03771314,132.863062,2.914163717,8.492350172,24.74809875,8,1,468.1929811
1,3.866892082,3.866892082,14.95285437,57.82107418,7.065547939,49.92196768,352.7260559,7,1,-141.565659
1,4.735088215,4.735088215,22.42106041,106.1656989,4.865472757,23.67282515,115.1794858,7,1,277.6720411
1,2.549964698,2.549964698,6.502319963,16.58068636,2.597888955,6.749027023,17.53322276,8,1,302.9474674
1,4.796610681,4.796610681,23.00747402,110.3578956,7.873103149,61.9857532,488.0202287,8,1,-231.2377814
1,5.309302941,5.309302941,28.18869772,149.6623357,9.518258034,90.597236,862.3278694,9,1,-708.632027
1,4.094420883,4.094420883,16.76428236,68.64002779,2.743084862,7.524514558,20.64038197,9,1,397.8035718
1,4.984466152,4.984466152,24.84490282,123.8385772,1.752964899,3.072885936,5.386661183,7,1,409.2922902
1,4.545285974,4.545285974,20.65962458,93.90390184,0.384178942,0.147593459,0.056702299,10,1,355.7682512
1,5.746867011,5.746867011,33.02648044,189.7987909,5.196888391,27.00764895,140.3557373,8,1,404.5924844
1,3.878889116,3.878889116,15.04578077,58.36091529,5.534845462,30.63451429,169.5573024,8,1,138.9294044
1,6.169355424,6.169355424,38.06094634,234.8115057,1.885746616,3.556040299,6.705790961,7,1,533.7778091
1,4.65285803,4.65285803,21.64908785,100.7301322,4.614049448,21.28945231,98.23058569,8,1,319.0988126
1,5.043965203,5.043965203,25.44158497,128.3264693,0.59396629,0.352795954,0.209548904,9,1,382.5864366
1,6.034673397,6.034673397,36.41728301,219.766409,0.561382668,0.3151505,0.176920029,8,1,390.8370961
1,4.832511648,4.832511648,23.35316883,112.8544604,4.441662294,19.72836394,87.62673022,10,1,381.4980544
1,4.28806383,4.28806383,18.38749141,78.84673684,3.771241519,14.22226259,53.63558718,7,1,332.0876398
1,5.324276542,5.324276542,28.3479207,150.9321692,0.720195124,0.518681016,0.373551539,9,1,421.0746133
1,4.32045875,4.32045875,18.66636381,80.64725483,7.764193228,60.28269649,468.0465039,9,1,-236.5072447
1,3.948850963,3.948850963,15.59342393,61.57610708,9.637084986,92.87340703,895.0289165,8,1,-746.0132111
1,6.455421388,6.455421388,41.6724653,269.0133238,0.670326023,0.449336977,0.301202269,8,1,416.8480606
1,3.217630566,3.217630566,10.35314646,33.31260051,0.62648618,0.392484934,0.245886387,5,1,285.3336511
1,4.127855953,4.127855953,17.03919477,70.33534157,4.381081937,19.19387894,84.08995632,10,1,331.4438536
1,4.930286263,4.930286263,24.30772263,119.844031,0.363860864,0.132394729,0.04817326,8,1,337.5780876
1,6.538400741,6.538400741,42.75068425,279.5211056,6.96739954,48.54465635,338.2300163,7,1,215.6044261
1,4.266628846,4.266628846,18.20412171,77.67023078,1.299260001,1.68807655,2.193250341,9,1,404.9309206
1,4.136555394,4.136555394,17.11109053,70.78097381,9.373534404,87.86314722,823.5882332,6,1,-730.9879042
1,5.839818047,5.839818047,34.10347482,199.1580877,4.346797506,18.89464856,82.13121122,9,1,527.0233923
1,5.300977713,5.300977713,28.10036472,148.9594071,5.658982181,32.02407933,181.2236943,8,1,253.8434127
1,4.805540269,4.805540269,23.09321728,110.9753856,0.619682655,0.384006593,0.237962225,7,1,323.8737422
1,5.927434144,5.927434144,35.13447553,208.2572899,5.219373249,27.24185711,142.1854202,8,1,434.0435034
1,4.481928848,4.481928848,20.08768619,90.03158024,6.941506102,48.18450696,334.4730491,8,1,-50.66182844
1,5.19817227,5.19817227,27.02099495,140.4597866,0.981557973,0.963456054,0.945687971,9,1,427.8250967
1,5.960193352,5.960193352,35.52390479,211.7293412,9.338300223,87.20385105,814.3357417,8,1,-555.9092366
1,4.187431433,4.187431433,17.534582,73.42485984,3.48500342,12.14524884,42.32623373,8,1,361.5555255
1,3.921619797,3.921619797,15.37910183,60.31099019,3.37582468,11.39619227,38.47154713,9,1,370.7224488
1,5.659633548,5.659633548,32.0314519,181.2862798,9.504895958,90.34304718,858.701264,7,1,-703.9564742
1,5.290210743,5.290210743,27.98632971,148.0535821,3.863622271,14.92757706,57.67451917,9,1,471.3786318
1,5.374684784,5.374684784,28.88723653,155.2597906,2.89309214,8.369982128,24.2151295,8,1,499.3053064
1,6.004921719,6.004921719,36.05908485,216.5319818,7.083895384,50.18157382,355.4810191,7,1,106.1966341
1,5.098057912,5.098057912,25.99019448,132.4995166,7.828640621,61.28761397,479.7987043,9,1,-199.7080209
1,5.307518881,5.307518881,28.16975667,149.5115154,0.5883215,0.346122187,0.203631124,8,1,368.9662306
1,3.821710986,3.821710986,14.60547486,55.81790373,6.249584005,39.05730024,244.0918789,10,1,85.3856881
1,4.613885291,4.613885291,21.28793748,98.22010158,6.588647641,43.41027773,286.015024,8,1,12.31744267
1,5.667343428,5.667343428,32.11878153,182.0281654,8.552333372,73.1424061,625.5382406,7,1,-381.841391
1,6.705373018,6.705373018,44.96202731,301.4871648,2.561899424,6.563328659,16.81458791,6,1,611.0686521
1,5.259008054,5.259008054,27.65716571,145.4492572,0.81256417,0.66026053,0.536504049,7,1,379.6024664
1,5.12004055,5.12004055,26.21481524,134.220917,2.562466745,6.566235817,16.82576092,9,1,475.7022271
1,6.246812461,6.246812461,39.02266592,243.7672757,5.233953758,27.39427194,143.3803526,10,1,521.198581
1,4.058349645,4.058349645,16.47020184,66.8418378,5.118097818,26.19492527,134.0681899,7,1,188.4570631
1,6.915219636,6.915219636,47.82026261,330.687619,7.500111755,56.25167633,421.8938589,8,1,180.9187003
1,6.102348855,6.102348855,37.23866155,227.2433037,2.451769243,6.01117242,14.73800765,8,1,579.3606265
1,4.015687567,4.015687567,16.12574663,64.75596025,5.433570205,29.52368517,160.4190161,9,1,191.5446581
1,6.386377807,6.386377807,40.7858215,260.4736653,8.032163614,64.51565232,518.2002751,7,1,-89.18662513
1,3.888918178,3.888918178,15.1236846,58.81477195,3.592166517,12.90366028,46.35209641,10,1,354.882127
1,3.402902119,3.402902119,11.57974283,39.40473141,9.326142307,86.97693032,811.1592296,9,1,-593.5412707
1,4.795612886,4.795612886,22.99790295,110.2890397,8.872940487,78.72907289,698.5583783,8,1,-534.2264525
1,6.06932312,6.06932312,36.83668314,223.5737326,5.796295053,33.59703634,194.7383355,9,1,389.3515256
1,4.995081925,4.995081925,24.95084344,124.6315071,2.89392828,8.374820891,24.23613102,6,1,437.6509175
1,4.683261837,4.683261837,21.93294144,102.7177076,1.552131051,2.4091108,3.739255679,9,1,429.552699
1,4.331377886,4.331377886,18.76083439,81.26026321,6.479545869,41.98451467,272.0405886,6,1,-28.3102047
1,6.029091137,6.029091137,36.34993993,219.1571007,9.727517097,94.62458888,920.4623061,7,1,-747.3839315
1,5.041432182,5.041432182,25.41603845,128.1332342,2.750226451,7.563745529,20.80201302,8,1,466.2739904
1,5.372352464,5.372352464,28.862171,155.0577555,5.768431821,33.27480567,191.9434479,8,1,254.0156453
1,4.598127539,4.598127539,21.14277686,97.21718452,8.158435211,66.56006509,543.0259786,8,1,-332.8120036
1,4.675779215,4.675779215,21.86291127,102.2261461,0.602151896,0.362586906,0.218332393,7,1,336.2663178
1,3.935758121,3.935758121,15.49019199,60.96564891,3.561501857,12.68429548,45.17514189,7,1,310.0383369
1,3.89082054,3.89082054,15.13848448,58.90112634,3.578775107,12.80763127,45.83563196,8,1,338.4262036
1,5.63123752,5.63123752,31.71083601,178.5712495,3.096334338,9.587286333,29.68544388,9,1,546.4095871
1,6.913751611,6.913751611,47.79996133,330.4770597,7.639780977,58.36625337,445.9053922,10,1,188.9000211
1,4.150478854,4.150478854,17.22647472,71.49811906,9.34657173,87.35840311,816.5015809,8,1,-678.0909082
1,3.55703856,3.55703856,12.65252332,45.00551332,6.656213098,44.30517281,294.9046716,8,1,-41.62906792
1,4.963193154,4.963193154,24.63328628,122.2597578,5.168753368,26.71601138,138.0884738,7,1,275.5280028
1,5.652284996,5.652284996,31.94832567,180.5810418,6.428872357,41.33039978,265.7078646,7,1,165.1178971
1,2.669081698,2.669081698,7.123997113,19.01453031,4.829092408,23.32013349,112.6150796,6,1,114.7121929
1,4.708005822,4.708005822,22.16531882,104.3544501,6.441704402,41.4955556,267.3021032,8,1,58.19119967
1,4.122587645,4.122587645,16.99572889,70.06638192,5.624603435,31.6361638,177.9408755,7,1,117.5742322
1,4.253045317,4.253045317,18.08839447,76.93076139,7.03248673,49.4558696,347.7977467,6,1,-144.00379
1,4.020906579,4.020906579,16.16768972,65.00876997,3.043307358,9.261719677,28.18625964,9,1,386.1798667
1,4.139298531,4.139298531,17.13379233,70.92188141,5.512179019,30.38411754,167.4826952,7,1,127.9723381
1,6.478916554,6.478916554,41.97635971,271.9613318,6.3250641,40.00643587,253.0432713,9,1,377.434162
1,5.525279868,5.525279868,30.52871763,168.6797089,9.414003573,88.62346328,834.3016,6,1,-714.0552823
1,5.588863834,5.588863834,31.23539896,174.5703916,4.02231786,16.17904097,65.07724544,7,1,470.881917
1,5.286251271,5.286251271,27.9444525,147.7213976,8.943601892,79.98801481,715.3809606,6,1,-581.7661499
1,4.359934216,4.359934216,19.00902637,82.8781045,1.617162879,2.615215776,4.229229873,7,1,366.5588969
1,5.295336731,5.295336731,28.0405911,148.484372,9.186285204,84.38783585,775.2107279,6,1,-632.9676631
1,6.452653078,6.452653078,41.63673175,268.6673853,1.250464464,1.563661376,1.955302985,9,1,526.3468734
1,4.668048569,4.668048569,21.79067744,101.7199406,2.412803996,5.821623121,14.04643553,7,1,408.0779948
1,6.05233794,6.05233794,36.63079454,221.7019476,3.200800988,10.24512697,32.79261252,6,1,545.3917615
1,4.747423935,4.747423935,22.53803402,106.9976021,4.629772029,21.43478904,99.23818676,4,1,236.6368259
1,4.216606379,4.216606379,17.77976935,74.97028886,0.578553709,0.334724394,0.19365604,5,1,285.5384921
1,5.714304041,5.714304041,32.65327067,186.5907165,6.482333841,42.02065202,272.3918946,8,1,186.6285456
1,4.953800169,4.953800169,24.54013612,121.5669304,9.133701453,83.42450224,761.9744973,8,1,-588.4856208
1,4.610660292,4.610660292,21.25818833,98.01428483,6.09595772,37.16070053,226.5300593,9,1,108.1356876
1,7.827323901,7.827323901,61.26699944,479.5566491,8.200557465,67.24914273,551.4804594,10,1,283.9062951
1,7.489345425,7.489345425,56.0902949,420.0795935,9.515333598,90.54157349,861.5332762,7,1,-386.4016744
1,4.187583359,4.187583359,17.53585439,73.43285202,5.18166349,26.84963653,139.1257813,9,1,210.6453424
1,3.814759061,3.814759061,14.5523867,55.51384902,1.12009187,1.254605796,1.405273752,10,1,410.1574242
1,4.659664174,4.659664174,21.71247021,101.1728196,3.498420143,12.2389435,42.81696646,10,1,452.7457473
1,7.102715691,7.102715691,50.44857018,358.321851,6.208496425,38.54542786,239.309151,8,1,520.5837426
1,4.855243671,4.855243671,23.57339111,114.454558,5.892195863,34.71797208,204.5650915,4,1,97.39831204
1,5.93539215,5.93539215,35.22887997,209.0972177,0.367303809,0.134912088,0.049553724,6,1,305.3899551
1,3.528549756,3.528549756,12.45066338,43.93278522,9.654710149,93.21342806,899.9486299,10,1,-661.8828301
1,6.797125817,6.797125817,46.20091937,314.0334618,8.535607595,72.85659701,621.8753228,6,1,-198.7847338
1,5.171120967,5.171120967,26.74049206,138.2783192,9.850164537,97.0257414,955.719517,8,1,-841.0158938
1,4.557534744,4.557534744,20.77112295,94.6651145,6.779484551,45.96141078,311.5946744,7,1,-35.91460119
1,7.745158353,7.745158353,59.98747791,464.6125156,8.550933905,73.11847064,625.2312096,4,1,16.26297727
1,5.062023178,5.062023178,25.62407865,129.7096801,9.169604521,84.08164707,770.9954511,9,1,-599.5802119
1,4.827089888,4.827089888,23.30079678,112.4750405,8.732025412,76.2482678,665.8018121,8,1,-504.6212071
